City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,ancud,-41.8697,-73.8203,64.29,76,9,9.46,CL,1675802046
1,hilo,19.7297,-155.09,77.29,97,100,4.61,US,1675801901
2,fort nelson,58.8053,-122.7002,33.39,72,2,5.1,CA,1675802060
3,rikitea,-23.1203,-134.9692,78.93,74,93,12.28,PF,1675801849
4,lenauheim,45.8719,20.7994,27.01,72,7,6.38,RO,1675802062
5,hermanus,-34.4187,19.2345,68.81,80,82,12.88,ZA,1675801844
6,provideniya,64.3833,-173.3,-16.55,94,57,3.69,RU,1675802070
7,khatanga,71.9667,102.5,-47.13,100,79,2.42,RU,1675801917
8,busselton,-33.65,115.3333,61.16,90,19,9.35,AU,1675801848
9,gladstone,-23.85,151.25,73.33,73,18,6.91,AU,1675802071
10,longyearbyen,78.2186,15.6401,21.04,86,75,44.87,SJ,1675802071
11,jamestown,42.097,-79.2353,47.79,60,100,10.36,US,1675801584
12,vaitape,-16.5167,-151.75,79.99,76,29,11.34,PF,1675802072
13,cape town,-33.9258,18.4232,74.12,74,40,11.99,ZA,1675801845
14,atuona,-9.8,-139.0333,78.42,77,10,15.03,PF,1675801868
15,rocha,-34.4833,-54.3333,79.86,52,47,14.9,UY,1675802074
16,vaini,-21.2,-175.2,79.72,79,56,14.32,TO,1675801841
17,la union,-5.4,-80.75,87.26,46,25,19.93,PE,1675802075
18,upernavik,72.7868,-56.1549,-17.23,96,96,3.09,GL,1675801842
19,marsh harbour,26.5412,-77.0636,71.69,62,4,17.02,BS,1675801968
20,ribas do rio pardo,-20.4431,-53.7592,75.9,87,100,3.89,BR,1675802078
21,los llanos de aridane,28.6585,-17.9182,56.95,79,40,12.66,ES,1675802081
22,parati,-23.2178,-44.7131,75.96,97,100,0.4,BR,1675802081
23,aligarh,27.8833,78.0833,54.1,51,0,8.32,IN,1675802082
24,aksu,41.1231,80.2644,24.35,75,4,6.22,CN,1675802083
25,kungurtug,50.5994,97.5228,-13.65,98,26,1.83,RU,1675802083
26,east london,-33.0153,27.9116,71.94,86,100,11.41,ZA,1675801911
27,luanda,-8.8368,13.2343,80.6,74,75,9.22,AO,1675802040
28,tautira,-17.7333,-149.15,79.45,68,0,6.67,PF,1675801873
29,itaituba,-4.2761,-55.9836,79.54,93,99,0.4,BR,1675802084
30,hithadhoo,-0.6,73.0833,81.27,69,99,7.99,MV,1675801982
31,avarua,-21.2078,-159.775,82.45,78,75,11.5,CK,1675801913
32,chokurdakh,70.6333,147.9167,-36.18,99,99,4.21,RU,1675801845
33,toora-khem,52.4675,96.11,-8.19,100,100,1.54,RU,1675802085
34,halifax,44.6453,-63.5724,33.22,58,84,15.99,CA,1675801672
35,paamiut,61.994,-49.6678,1.11,81,100,9.91,GL,1675801887
36,ponta do sol,32.6667,-17.1,58.01,58,14,4.56,PT,1675801959
37,kavieng,-2.5744,150.7967,81.03,78,100,7.85,PG,1675801903
38,carnarvon,-24.8667,113.6333,76.46,69,0,19.37,AU,1675801901
39,butaritari,3.0707,172.7902,81.09,80,100,22.95,KI,1675801915
